OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PLEIADES 1B,2012-068A,2026-05-20T15:19:53.070816,14.58541051,.00013369,98.1948,216.0687,102.3490,257.7859,0,U,39019,999,71683,.73688732E-4,.297E-5,0
GOKTURK 2,2012-073A,2026-05-20T14:47:23.339040,14.75511448,.00021911,97.6830,339.4279,80.5739,279.5719,0,U,39030,999,72044,.3549655E-5,-.23E-6,0
LANDSAT 8,2013-008A,2026-05-20T15:00:45.780768,14.57115817,.00013217,98.1839,211.1308,102.3838,257.7509,0,U,39084,999,69388,.52544528E-4,.192E-5,0
SARAL,2013-009A,2026-05-20T14:20:14.191872,14.32848454,.00022809,98.5559,327.5142,38.0449,322.0896,0,U,39086,999,69165,.32626555E-4,.45E-6,0
GAOFEN-1,2013-018A,2026-05-20T14:48:45.763776,14.76541642,.00169962,97.9098,213.2435,0.1588,359.9624,0,U,39150,999,70417,.64713375E-4,.401E-5,0
VNREDSAT 1,2013-021B,2026-05-20T15:06:09.218304,14.64824418,.00015044,97.9092,195.1013,97.0424,263.0951,0,U,39160,999,69625,.94289322E-4,.458E-5,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-05-20T15:09:32.317056,15.04501045,.00023978,97.6207,327.7195,195.2795,164.8359,0,U,39227,999,69971,.29443293E-4,.352E-5,0
SKYSAT-A,2013-066C,2026-05-20T13:04:01.643808,15.12799130,.00227589,97.3831,190.8229,53.2860,307.0458,0,U,39418,999,68430,.13542306E-3,.2327E-4,0
DUBAISAT-2,2013-066D,2026-05-20T13:42:32.709024,15.09954131,.00127316,97.4566,131.4457,122.7476,237.4983,0,U,39419,999,68222,.17803027E-3,.2831E-4,0
GPM-CORE,2014-009C,2026-05-20T13:42:38.594592,15.45033871,.00118463,64.9734,40.6865,265.0552,94.9236,0,U,39574,999,69354,.17834882E-3,.8237E-4,0
SENTINEL-1A,2014-016A,2026-05-20T14:18:21.599712,14.59199428,.00014409,98.1782,148.5315,85.0911,275.0453,0,U,39634,999,64599,.216067E-4,.56E-6,0
KAZEOSAT 1,2014-024A,2026-05-20T14:45:05.940576,14.42068242,.00016124,98.3208,213.7459,88.6476,271.4899,0,U,39731,999,63458,.10784373E-3,.312E-5,0
ALOS-2,2014-029A,2026-05-20T14:42:06.697728,14.79481114,.00015443,97.9227,238.1707,88.2771,271.8618,0,U,39766,999,64750,.99430082E-4,.691E-5,0
KAZEOSAT 2,2014-033A,2026-05-20T14:41:15.910944,14.85432694,.00100027,97.5420,341.6788,55.8173,304.3990,0,U,40010,999,64486,-.14437735E-4,-.175E-5,0
HODOYOSHI-4,2014-033B,2026-05-20T16:00:08.400960,14.88055004,.00246402,97.5449,326.8192,39.8560,320.4461,0,U,40011,999,64471,.93982899E-4,.816E-5,0
DEIMOS-2,2014-033D,2026-05-20T15:36:15.513120,14.93635941,.00021636,97.5855,16.1027,75.1903,284.9557,0,U,40013,999,63361,.59159587E-4,.571E-5,0
HODOYOSHI-3,2014-033F,2026-05-20T10:20:00.493728,14.85324622,.00344087,97.6395,304.5940,86.4474,274.0676,0,U,40015,999,64350,.90773364E-4,.736E-5,0
SPOT 7,2014-034A,2026-05-20T15:34:11.025408,14.60931928,.00012841,98.0637,203.8479,79.8747,280.2599,0,U,40053,999,63311,.11732505E-3,.529E-5,0
SKYSAT-B,2014-037D,2026-05-20T14:55:16.205376,14.87944836,.00060298,98.3823,98.0204,21.5285,338.6183,0,U,40072,999,64186,.92135997E-4,.783E-5,0
WORLDVIEW-3 (WV-3),2014-048A,2026-05-20T14:36:00.797184,14.84969523,.00026456,97.8570,215.8220,69.7146,290.4353,0,U,40115,999,63781,.62519854E-4,.479E-5,0
GAOFEN-2,2014-049A,2026-05-20T14:36:11.393280,14.80868047,.00066057,98.0117,204.8399,333.8948,26.1930,0,U,40118,999,63515,.13188151E-3,.965E-5,0
YAOGAN-21,2014-053A,2026-05-20T14:59:24.944928,15.25927882,.00082109,97.1486,182.0497,176.6121,183.5175,0,U,40143,999,65075,.29919486E-3,.7616E-4,0
YAOGAN-22,2014-063A,2026-05-20T15:43:29.459712,13.15530409,.00058021,100.7688,291.4751,249.9641,110.0846,0,U,40275,999,55619,-.47453E-7,-.47E-6,0
ASNARO,2014-070A,2026-05-20T15:13:07.722624,15.19653472,.0002632,97.3447,217.4877,220.2744,139.8297,0,U,40298,999,63982,.41132564E-3,.8709E-4,0
YAOGAN-24,2014-072A,2026-05-20T15:07:40.226016,14.76184136,.00138245,98.1456,277.7411,357.9174,2.1976,0,U,40310,999,61965,.12342469E-3,.801E-5,0
